product,review_original,source,review_date,original_rating,review_en,rating,threat_category
JE TESTE KIKO...,kiko c'était vraiment donné avant maintenant les prix c'est de la folie 🥲,YouTube,,,kiko it was really cheap before now the prices are crazy 🥲,3.0,Neutral/Positive
JE TESTE KIKO...,❤❤❤,YouTube,,,❤❤❤,3.0,Neutral/Positive
JE TESTE KIKO...,coucou as tu déjà fait une vidéo full face fenty beauty ?,YouTube,,,"Hello, have you ever made a Fenty Beauty full face video?",4.0,Neutral/Positive
JE TESTE KIKO...,bonjour fabian peux tu nous faire une full face de la marque l’oréal...avec ta maman vous êtes trop beau et génial ensemble. merci,YouTube,,,hello fabian can you give us a full face of the l'oréal brand...with your mom you are so beautiful and awesome together. THANKS,5.0,Neutral/Positive
JE TESTE KIKO...,"salut fabian, j’ai le même fond de teint chez moi et même sans utiliser de base c’est une catastrophe (au début, moi aussi je pensais que ça venait de la base). il marque toutes mes zones de sécheresse et je ne t’explique même pas quand je le poudre derrière. pourtant, je n’ai jamais eu de problème avec les autres marques de fond teint que j’ai pu tester avant.",YouTube,,,"hi fabian, I have the same foundation at home and even without using a base it's a disaster (at first, I too thought it came from the base). it marks all my dry areas and I don't even explain to you when I powder it behind. However, I have never had a problem with the other brands of foundation that I have tested before.",2.0,Product Quality Threat
JE TESTE KIKO...,le focuuuus 😢,YouTube,,,the focus 😢,3.0,Neutral/Positive
JE TESTE KIKO...,t’es le goat mon fabian,YouTube,,,you are the goat my fabian,3.0,Neutral/Positive
JE TESTE KIKO...,merci ! c'est quoi ton type de peau ? et aussi où tu t'épile les sourcils stp ? mercii,YouTube,,,THANKS ! what is your skin type? and also where do you pluck your eyebrows please? thank you,4.0,Neutral/Positive
JE TESTE KIKO...,apparament kiko teste sur les animaux c’est vrai ?,YouTube,,,"apparently kiko tests on animals, is that true?",4.0,Neutral/Positive
JE TESTE KIKO...,refait charlotte tilbury par pitiééé ou catrice,YouTube,,,remade charlotte tilbury by pityééé or catrice,3.0,Neutral/Positive
JE TESTE KIKO...,idées full face à faire : essence ; sephora ; fenty,YouTube,,,full face ideas to do: essence; sephora; fenty,4.0,Neutral/Positive
JE TESTE KIKO...,le rouge à lèvre 102 a changé de compo et de teinte il est moins rose clair ! je suis deg c’était mon best depuis des années,YouTube,,,"lipstick 102 has changed composition and shade, it is less light pink! I'm deg it was my best for years",4.0,Neutral/Positive
JE TESTE KIKO...,j adore kiko mais les fond de teint il y a pas assais de teinte c est dommage et oui le fond de teint serum etait incroyable j aimais que celui la.,YouTube,,,"I love Kiko but the foundations don't have any shade, it's a shame and yes the serum foundation was incredible, I only loved that one.",5.0,Neutral/Positive
JE TESTE KIKO...,je pense que ta pas assais attendu avec la base qu elle seche et tu en a trop mis.,YouTube,,,I think you didn't wait with the base for it to dry and you used too much.,2.0,Product Quality Threat
JE TESTE KIKO...,c’est moi ou le focus fait chier,YouTube,,,is it me or the focus sucks,2.0,Neutral/Positive
JE TESTE KIKO...,❤,YouTube,,,❤,3.0,Neutral/Positive
JE TESTE KIKO...,on adore tes vidéos de crash test continu !!,YouTube,,,we love your continuous crash test videos!!,5.0,Health & Safety Threat
JE TESTE KIKO...,une full face ysl,YouTube,,,une full face ysl,4.0,Neutral/Positive
JE TESTE KIKO...,full face kylie cosmetics stp,YouTube,,,full face kylie cosmetics stp,4.0,Neutral/Positive
JE TESTE KIKO...,ravie de te revoir fabian,YouTube,,,nice to see you again fabian,5.0,Neutral/Positive
The WORST Skincare Products #shorts,don't use nutravim. it's a scam!,YouTube,,,don't use nutravim. it's a scam!,3.0,Fraud & Scam Threat
The WORST Skincare Products #shorts,it's white akash,YouTube,,,it's white akash,3.0,Neutral/Positive
The WORST Skincare Products #shorts,i actually loveeee the lemon toner for my pores!!!! it worked amazing on me! and also smelled so fresh and a little sour like lemon haha but fresh like lemon. i always swore by it and told people it was my favorite!! lemon is amazing for your insides so i wonder why it wouldn’t be good for certain skin care treatments. but in an exfoliation pad like they showed???? ouch!! that’s just like micro scratching your face and putting lemon in it! no thanks! lol,YouTube,,,i actually loveeee the lemon toner for my pores!!!! it worked amazing on me! and also smelled so fresh and a little sour like lemon haha but fresh like lemon. i always swore by it and told people it was my favorite!! lemon is amazing for your insides so i wonder why it wouldn’t be good for certain skin care treatments. but in an exfoliation pad like they showed???? ouch!! that’s just like micro scratching your face and putting lemon in it! no thanks! lol,4.0,Neutral/Positive
The WORST Skincare Products #shorts,what works for some might not work for others i'm just saying 🤷🏽,YouTube,,,what works for some might not work for others i'm just saying 🤷🏽,3.0,Neutral/Positive
The WORST Skincare Products #shorts,"i am 68 and have very sensitive reactive skin (psa and sjogrens disease which yields extreme dryness).  legit sensitive. i have used seabreeze original formula for as long as i remember. it absolutely doesn't not tear your face off! that is simply untrue. it is very refreshing, eases facial and scalp itching and has never irritated my skin.",YouTube,,,"i am 68 and have very sensitive reactive skin (psa and sjogrens disease which yields extreme dryness).  legit sensitive. i have used seabreeze original formula for as long as i remember. it absolutely doesn't not tear your face off! that is simply untrue. it is very refreshing, eases facial and scalp itching and has never irritated my skin.",4.0,Health & Safety Threat
The WORST Skincare Products #shorts,"sea breeze been used by my mom with shampoo to help with my scalp dermatitis. and, it works. now as an adult, i still go back to that remedy. i can't say it's good for everyone but it helps me. only skin care product that i'll never give up is noxzema. great for my oily skin. but, if you have sensitive skin, don't use. wash your face with oatmeal soap😉",YouTube,,,"sea breeze been used by my mom with shampoo to help with my scalp dermatitis. and, it works. now as an adult, i still go back to that remedy. i can't say it's good for everyone but it helps me. only skin care product that i'll never give up is noxzema. great for my oily skin. but, if you have sensitive skin, don't use. wash your face with oatmeal soap😉",4.0,Neutral/Positive
The WORST Skincare Products #shorts,bro looks like the first pokemon evolution stage of harald glööckler,YouTube,,,bro looks like the first pokemon evolution stage of harald glööckler,4.0,Neutral/Positive
The WORST Skincare Products #shorts,i learnt the hard way that lemon doesn’t go on the face. i tried making a home yoghurt tumeric face mask and stupidly squeezed in lemon juice.. my face was on fireeeee🔥🔥🔥,YouTube,,,i learnt the hard way that lemon doesn’t go on the face. i tried making a home yoghurt tumeric face mask and stupidly squeezed in lemon juice.. my face was on fireeeee🔥🔥🔥,1.0,Neutral/Positive
The WORST Skincare Products #shorts,"i agree with the astringent! my mom for whatever reason gave me that as a teenager to help control my face oil and acne! all it did was dry out my skin and make it more angry! 

a gentle cleanser was all i needed!",YouTube,,,"i agree with the astringent! my mom for whatever reason gave me that as a teenager to help control my face oil and acne! all it did was dry out my skin and make it more angry! 

a gentle cleanser was all i needed!",3.0,Product Quality Threat
The WORST Skincare Products #shorts,"my favorite homemade mask for cleansing when your pores are filthy: make a paste with lemon juice and baking soda. cake it on and let it dry. then gently rinse off, rubbing in small circles. pat dry & moisturize. i use it on dudes that almost never cleanse, or on me but no more than once a month to every 6 months, moisturize right after.",YouTube,,,"my favorite homemade mask for cleansing when your pores are filthy: make a paste with lemon juice and baking soda. cake it on and let it dry. then gently rinse off, rubbing in small circles. pat dry & moisturize. i use it on dudes that almost never cleanse, or on me but no more than once a month to every 6 months, moisturize right after.",3.0,Product Quality Threat
The WORST Skincare Products #shorts,what about sincerely yours?,YouTube,,,what about sincerely yours?,5.0,Neutral/Positive
